Timestamp,Telegram Username (@), chess.com Username,chess.com Rapid Rating,lichess username,lichess rapid rating
8/10/2026 7:39:38,@tolosa11,Ras_mitat1,427,Kenxmitat,1270
8/10/2026 7:50:49,Sonderfool ,251|251,1190,Tesfamariam ,1475
8/10/2026 7:59:08,Isaabdi20,Isaabdi20,1085,I don't have ,1000
8/10/2026 8:01:41,Jzargoo,diobarjo,730,lebombsanchez,1300
8/10/2026 8:16:59,@Natework,HabeshaFM,1527,hhh,1500
8/10/2026 9:06:57,@djsn_zl,Veronica_2112,661,Veronica_2112,1212
8/10/2026 9:07:56,Mati_yenatu,Mati_yenatu,1093,Mati_yenatu,1500
8/10/2026 9:47:40,@ophisa,https://www.chess.com/member/ofisabekke,276,https://lichess.org/@/ofisa,0
8/10/2026 9:54:54,@abaJH4,jibo.h14,1050,I dont jave acc,I dont have acc.
8/10/2026 10:12:00,azxqwr,azxqwr,167,eyuusiiy,0
8/10/2026 10:12:12,@the_pacu_fist,@Gezemini,818,@Gezemini,1500
8/10/2026 12:09:57,@Sami_add,Sam_add778,773,sam_778,1423
8/10/2026 12:12:56,@ebn18,Ebn1st,947,I don't have,0
8/10/2026 12:30:31,@Lonezephyr,Chifa137,2006,Theyla9,1990
8/10/2026 12:46:04,@jakob186,jakob12ueu,470,jakob12ueu,767
8/10/2026 12:47:51,@Neo43210,Naol-Misgana ,1042,neo1_n,1249
8/10/2026 13:01:40,@Do3_42,Yedidya_Getamesay,420,YedidyaG,1605
8/10/2026 13:08:04,@BARKLEY1221,@Barkley1221,755,@Barkley1221,1362
8/10/2026 13:11:45,Mickey,MickeyAk8,923,MickeyAk8,1503
8/10/2026 13:26:06,@weebme,Johnks_s62,630,O,O
8/10/2026 13:26:13,@hyw_frw,The_boogeyman2,1134,Dont have lichess account ,1000
8/10/2026 13:27:57,@Sonder_s,lilyeazzy,494,sonder_s_sidekick,1300
8/10/2026 13:29:12,@Just_sami7,Hellnomf,442,400,400
8/10/2026 13:35:34,@Senay3467,ssseeennnaaayyy,1239,I don't have lichess,I don't have lichess
8/10/2026 13:35:47,@back_stronger_better ,P3p007,1490,Pep777,1825
8/10/2026 13:43:46,@VTXmoy,vtx_|_moy,729,Vtx_l_moy,1186
8/10/2026 13:45:57,@yonima1,Yonima1,800,Yonima1,1367
8/10/2026 13:53:51,@leoman13,Kalshkb,816,Kalshkb,1232
8/10/2026 13:55:05,@Mfeysel77,Mafeya77,1157,Mafeya,700
8/10/2026 13:56:21,Fkman07,Fk_rook,743,Fk_night,0
8/10/2026 14:02:01,Vezdix66,Vetarix7,1128,Vetarix,729
8/10/2026 14:09:20,@Mjjj_67,kha_lid_xo,1198,khalid514,1399
8/10/2026 14:16:56,@Jesus4life032700, Abeni1234,635,ANT271630,1151
8/10/2026 14:31:12,Matospq,matospq,1104,Don't have ,Don't have 
8/10/2026 14:36:28,@Aymsw,Abebezer24,965,Abenezer1,1254
8/10/2026 14:45:41,@yuaken,Xe-ekoniyan ,181,Xe-ekoniyan,0
8/10/2026 14:57:43,@MeMyi17,roben17jw,715,roben17jw ,New
8/10/2026 15:01:00,Ambaye Tiumelisan,Praise-Him,1534,Kingsback,1500
8/10/2026 15:01:37,@aabel_be,LINX_abel,935,xabelnova,1370
8/10/2026 15:03:12,Filawg,Filawg,850,Filawg,1195
8/10/2026 15:07:08,Og,OG_lock412,900,I don't have ,Non
8/10/2026 15:10:06,@Umialex26,UmerYasin28,929,alexiss23,1391
8/10/2026 15:21:01,@neda245,Obyu24,524,https://lichess.org/@/Obyu,1500
8/10/2026 15:26:54,@TeddyB_9,teddyB_9,1174,Ras T,1200
8/10/2026 15:30:56,@Yuaken148,Xe-ekoniyan,181,Xe-ekoniyan,792
8/10/2026 15:31:18,@Kidus4066,Kidus-2083,613,No,No
8/10/2026 15:34:36,@Nebyu_0,nebyu77,1005,Nebyu_77,1287
8/10/2026 15:36:17,adnanhimself,adnanhimself,795,adnan768jr,1400
8/10/2026 15:50:52,@zechariasdejen,Melot_D,628,Zechariasdejen,0
8/10/2026 15:52:25,@dave_0565,dawit_s_12,660,dawit_s_12,1400
8/10/2026 15:52:32,@Maralevel,eskoisback,1181,Bekenb,1420
8/10/2026 15:53:15,@nati0251,natnaelbetru,731,natnaelbetru,1377
8/10/2026 16:03:33,@ARMONIUM,Elyssium_1,1090,ARMONIUM2,1432
8/10/2026 16:05:41,Anusha5346,Anuassefa,900,anuassefaali ,1419
8/10/2026 16:08:51,@Dagi_L,dagmawi0000,1318,Dagi12,1096
8/10/2026 16:09:05,@bnnd49,Lelouchviabyssinia,1428,I don't have an account ,non
8/10/2026 16:09:32,Mihir_721 ,mihir_721 ,759,Mihir721,1030
8/10/2026 16:10:17,@CIPHER_STORM,@simon_talov,905,APT21,Unknown 
8/10/2026 16:25:26,@mystic_meadows77,Abel707578,527,Abel707578,400
8/10/2026 16:25:35,@lzr_36,the_knightxi,813,TheKnight7,1500
8/10/2026 16:25:52,TT1_2a,perez1146,800-900,fares235lo,1400-1480
8/10/2026 16:28:05,@DONTA17,Kaleab_blunder,765,Kaleab_blunder ,1354
8/10/2026 16:30:42,Zmagicsfree,Zekiisking,700,Zekidus00,750
8/10/2026 16:32:54,@AbelYKB,Abelyoh,751,Abelyoh,1100
8/10/2026 16:34:54,@mello17,Mello1_7,930,I don't have one ,I don't have one 
8/10/2026 16:39:52,@ASCHENAKI,Jonathan_3443,802,-,-
8/10/2026 16:45:10,@nobody_offx,Kingokw,600,Kingokw,600
8/10/2026 16:47:54,@ArchMerid,Merid Mengesha ,932,MeridMengesha,1500
8/10/2026 16:59:49,@Noveltei,erennoveltei,890,erennovel,1400
8/10/2026 17:55:55,@Yeamlak1864,Yeamlak11,816,Yeamlak12,1286
8/10/2026 17:57:17,@yeamlak1864,Yeamlak11,816,Yeamlak12,1286
8/10/2026 17:59:04,@jonexJ,Jonex_j,1400,Jonex_j,1430
8/10/2026 18:08:06,getnetMegersa,FixGet90,403,FixGet90,1080
8/10/2026 18:08:17,@AbelaaJJ,Abella200,513,AYANAKOJI1_0,1083
8/10/2026 18:42:07,Besuno2,Baase0,756,Bese1,1254
8/10/2026 18:44:10,Besuno2,baase0,756,Bese1,1254
8/10/2026 18:53:44,@blue4eva,TheR0ookkk,700,TheR0ookkk ,1000
8/10/2026 19:04:42,@tibebutadesse,Eli_336,520,Eli_336,1228
8/10/2026 19:05:03,@beki7213,Bek7213,945,bek7213,1455
8/10/2026 19:49:28,@D_aw1t1,Cunha1111,1350,Cunhabrun0,1476
